strom;guildy;pocet;cas;treatment
P10;listozravi clenovci;4;zacatek;ptaci
P10;mizu sajici clenovci;0;zacatek;ptaci
P10;ostatni;0;zacatek;ptaci
P11;predatori;1;zacatek;ptaci
P11;listozravi clenovci;0;zacatek;ptaci
P11;mizu sajici clenovci;7;zacatek;ptaci
P11;ostatni;0;zacatek;ptaci
P12;predatori;2;zacatek;ptaci
P12;listozravi clenovci;1;zacatek;ptaci
P12;mizu sajici clenovci;0;zacatek;ptaci
P12;ostatni;0;zacatek;ptaci
P13;predatori;0;zacatek;ptaci
P13;listozravi clenovci;2;zacatek;ptaci
P13;mizu sajici clenovci;2;zacatek;ptaci
P13;ostatni;3;zacatek;ptaci
P14;predatori;3;zacatek;ptaci
P14;listozravi clenovci;1;zacatek;ptaci
P14;mizu sajici clenovci;0;zacatek;ptaci
P14;ostatni;0;zacatek;ptaci
P15;predatori;6;zacatek;ptaci
P15;listozravi clenovci;4;zacatek;ptaci
P15;mizu sajici clenovci;3;zacatek;ptaci
P15;ostatni;2;zacatek;ptaci
P1;predatori;3;konec;ptaci
P1;listozravi clenovci;5;konec;ptaci
P1;mizu sajici clenovci;2;konec;ptaci
P1;ostatni;1;konec;ptaci
P2;predatori;0;konec;ptaci
P2;listozravi clenovci;0;konec;ptaci
P2;mizu sajici clenovci;2;konec;ptaci
P2;ostatni;1;konec;ptaci
P3;predatori;0;konec;ptaci
P3;listozravi clenovci;0;konec;ptaci
P3;mizu sajici clenovci;1;konec;ptaci
P3;ostatni;3;konec;ptaci
P4;predatori;3;konec;ptaci
P4;listozravi clenovci;0;konec;ptaci
P4;mizu sajici clenovci;0;konec;ptaci
P4;ostatni;0;konec;ptaci
P5;predatori;1;konec;ptaci
P5;listozravi clenovci;0;konec;ptaci
P5;mizu sajici clenovci;5;konec;ptaci
P5;ostatni;0;konec;ptaci
P6;predatori;2;konec;ptaci
P6;listozravi clenovci;0;konec;ptaci
P6;mizu sajici clenovci;3;konec;ptaci
P6;ostatni;0;konec;ptaci
P7;predatori;1;konec;ptaci
P7;listozravi clenovci;3;konec;ptaci
P7;mizu sajici clenovci;6;konec;ptaci
P7;ostatni;0;konec;ptaci
P8;predatori;1;konec;ptaci
P8;listozravi clenovci;0;konec;ptaci
P8;mizu sajici clenovci;1;konec;ptaci
P8;ostatni;1;konec;ptaci
P9;predatori;5;konec;ptaci
P9;listozravi clenovci;3;konec;ptaci
P9;mizu sajici clenovci;0;konec;ptaci
P9;ostatni;0;konec;ptaci
P10;predatori;2;konec;ptaci
P10;listozravi clenovci;0;konec;ptaci
P10;mizu sajici clenovci;2;konec;ptaci
P10;ostatni;1;konec;ptaci
P11;predatori;4;konec;ptaci
P11;listozravi clenovci;2;konec;ptaci
P11;mizu sajici clenovci;0;konec;ptaci
P11;ostatni;0;konec;ptaci
P12;predatori;3;konec;ptaci
P12;listozravi clenovci;5;konec;ptaci
P12;mizu sajici clenovci;2;konec;ptaci
P12;ostatni;1;konec;ptaci
P13;predatori;0;konec;ptaci
P13;listozravi clenovci;0;konec;ptaci
P13;mizu sajici clenovci;2;konec;ptaci
P13;ostatni;3;konec;ptaci
P14;predatori;1;konec;ptaci
P14;listozravi clenovci;1;konec;ptaci
P14;mizu sajici clenovci;1;konec;ptaci
P14;ostatni;1;konec;ptaci
P15;predatori;1;konec;ptaci
P15;listozravi clenovci;0;konec;ptaci
P15;mizu sajici clenovci;1;konec;ptaci
P15;ostatni;0;konec;ptaci
M+P1;predatori;1;zacatek;meja+ptaci
M+P1;listozravi clenovci;1;zacatek;meja+ptaci
M+P1;mizu sajici clenovci;5;zacatek;meja+ptaci
M+P1;ostatni;0;zacatek;meja+ptaci
M+P2;predatori;0;zacatek;meja+ptaci
M+P2;listozravi clenovci;3;zacatek;meja+ptaci
M+P2;mizu sajici clenovci;4;zacatek;meja+ptaci
M+P2;ostatni;0;zacatek;meja+ptaci
M+P3;predatori;12;zacatek;meja+ptaci
M+P3;listozravi clenovci;0;zacatek;meja+ptaci
M+P3;mizu sajici clenovci;5;zacatek;meja+ptaci
M+P3;ostatni;3;zacatek;meja+ptaci
M+P4;predatori;4;zacatek;meja+ptaci
M+P4;listozravi clenovci;5;zacatek;meja+ptaci
M+P4;mizu sajici clenovci;10;zacatek;meja+ptaci
M+P4;ostatni;0;zacatek;meja+ptaci
M+P5;predatori;2;zacatek;meja+ptaci
M+P5;listozravi clenovci;4;zacatek;meja+ptaci
M+P5;mizu sajici clenovci;2;zacatek;meja+ptaci
M+P5;ostatni;0;zacatek;meja+ptaci
M+P6;predatori;4;zacatek;meja+ptaci
M+P6;listozravi clenovci;10;zacatek;meja+ptaci
M+P6;mizu sajici clenovci;5;zacatek;meja+ptaci
M+P6;ostatni;6;zacatek;meja+ptaci
M+P7;predatori;2;zacatek;meja+ptaci
M+P7;listozravi clenovci;0;zacatek;meja+ptaci
M+P7;mizu sajici clenovci;5;zacatek;meja+ptaci
M+P7;ostatni;0;zacatek;meja+ptaci
